Character Name,Gender,Lightsaber Color,Iconic Weapon,Homeworld,Character Species,Personality,Skill,Classification,Height,Mass,Birth Year,Attack,Speed,Health,Force Power
Yoda,Laki-laki,Hijau,Lightsaber,Dagobah,Yoda,Bijaksana,Penguasaan Force,Jedi,66,17,896,86,30,65,100
Luke Skywalker,Laki-laki,Biru,Lightsaber,Tatooine,Manusia,Pemberani,Penguasaan Force,Jedi,172,77,19,"89,6",48,99,100
Leia Organa,Perempuan,Tidak ada,Blaster,Alderaan,Manusia,Tegas,Diplomasi,Jedi,150,49,19,"86,4",32,97,90
Han Solo,Laki-laki,Tidak ada,Blaster,Corellia,Manusia,Licik,Pilot,Netral,180,80,29,"71,1",37,75,50
Chewbacca,Laki-laki,Tidak ada,Bowcaster,Kashyyyk,Wookiee,Setia,Keterampilan Tempur,Netral,228,112,200,"69,6",32,113,50
C-3PO,Tidak diketahui,Tidak ada,Tidak ada,Tatooine,Protocol Droid,Bijaksana,Terjemahan,Netral,167,75,112,"70,2",34,65,50
R2-D2,Tidak diketahui,Tidak ada,Tidak ada,Naboo,Astromech Droid,Setia,Perbaikan,Netral,96,32,33,"70,8",36,82,50
Boba Fett,Laki-laki,Tidak ada,Blaster,Kamino,Manusia,Licik,Perburuan Hadiah,Netral,183,78.2,31.5,"72,3",41,78,50
Darth Vader,Laki-laki,Merah,Lightsaber,Tatooine,Manusia,Kejam,Penguasaan Force,Sith,202,136,41.9,"83,6",34,83,85
Obi-Wan Kenobi,Laki-laki,Biru,Lightsaber,Stewjon,Manusia,Bijaksana,Penguasaan Force,Jedi,182,77,57,"87,4",37,90,100
Ahsoka Tano,Perempuan,Oranye,Lightsaber,Shili,Togruta,Pemberani,Penguasaan Force,Jedi,169,59,,88,40,61,100
Darth Maul,Laki-laki,Merah,Lightsaber,Dathomir,Zabrak,Kejam,Keterampilan Pedang,Sith,175,80,54,"88,8",47,67,85
Qui-Gon Jinn,Laki-laki,Hijau,Lightsaber,Coruscant,Manusia,Bijaksana,Penguasaan Force,Jedi,193,89,92,86,30,79,100
Mace Windu,Laki-laki,Ungu,Lightsaber,Haruun Kal,Manusia,Bijaksana,Penguasaan Force,Jedi,188,84,72,87,35,98,100
Palpatine,Laki-laki,Ungu,Lightsaber,Naboo,Manusia,Licik,Manipulasi Force,Sith,170,75,82,"85,6",39,71,85
Yaddle,Perempuan,Hijau,Lightsaber,Tidak diketahui,Yoda’s species,Bijaksana,Penguasaan Force,Jedi,63,18,,84,20,130,100
Darth Sidious,Laki-laki,Ungu,Lightsaber,Naboo,Manusia,Licik,Penguasaan Force,Sith,187,60,,"84,4",36,83,85
Lando Calrissian,Laki-laki,Tidak ada,Blaster,Bespin,Manusia,Licik,Pilot,Netral,177,79,31,"74,4",48,97,50
Maz Kanata,Perempuan,Tidak ada,Tidak ada,Takodana,Tidak diketahui,Bijaksana,Kebijaksanaan,Netral,161,58,,"70,5",35,66,50
Wicket W. Warrick,Laki-laki,Tidak ada,Spear,Endor,Ewok,Pemberani,Perang Gerilya,Netral,88,20,8,"68,7",29,41,50
Poe Dameron,Laki-laki,Tidak ada,Blaster,Yavin 4,Manusia,Berani,Pilot,Netral,Tidak ada,Tidak ada,Tidak ada,72,40,92,50
Luminara Unduli,Perempuan,Hijau,Lightsaber,Mirial,Mirialan,Bijaksana,Penguasaan Force,Jedi,170,56.2,58,"84,6",23,68,100
Darth Nihilus,Laki-laki,Merah,Lightsaber,Tidak diketahui,Human,Kejam,Penguasaan Force,Sith,187,90,,"84,4",36,58,85
General Hux,Laki-laki,Tidak ada,Blaster,Tidak diketahui,Manusia,Kejam,Strategi Perang,Netral,176,62,,72,40,77,50
Captain Phasma,Perempuan,Tidak ada,Blaster,Parnassos,Manusia,Kejam,Strategi Militer,Netral,Tidak ada,Tidak ada,Tidak ada,"74,4",48,81,50
Fenn Rau,Laki-laki,Tidak ada,Blaster,Concord Dawn,Mandalorian,Bijaksana,Strategi Tempur,Netral,188,54,,"69,3",31,75,50
Darth Bane,Laki-laki,Merah,Lightsaber,Tidak diketahui,Human,Licik,Penguasaan Force,Sith,163,66,,"80,8",27,63,85
Zeb Orrelios,Laki-laki,Tidak ada,Lasat bo-rifle,Lasan,Lasat,Berani,Keterampilan Tempur,Netral,155,67,,"69,6",32,80,50
Aayla Secura,Perempuan,Biru,Lightsaber,Ryloth,Twi'lek,Bijaksana,Penguasaan Force,Jedi,198,52,,"87,6",38,82,100
Jyn Erso,Perempuan,Tidak ada,Blaster,Lothal,Manusia,Pemberani,Kepemimpinan,Netral,173,82,,"71,4",38,75,50
Kanan Jarrus,Laki-laki,Hijau,Lightsaber,Lothal,Manusia,Bijaksana,Penguasaan Force,Netral,171,76,,"74,4",48,98,50
Chirrut Îmwe,Laki-laki,Tidak ada,Tidak ada,Jedha,Blind,Bijaksana,Penguasaan Force,Netral,151,95,,"66,6",22,96,50
Baze Malbus,Laki-laki,Tidak ada,Blaster,Jedha,Manusia,Setia,Keterampilan Tempur,Netral,186,68,,72,40,92,50
K-2SO,Tidak diketahui,Tidak ada,Tidak ada,Tidak diketahui,KX-series Droid,Setia,Teknologi,Netral,170,87,,"70,8",36,61,50
Saw Gerrera,Laki-laki,Tidak ada,Blaster,Onderon,Manusia,Kejam,Taktik Perang,Netral,184,85,,"70,5",35,83,50
Rex,Laki-laki,Tidak ada,Blaster,Kamino,Klon,Setia,Keterampilan Tempur,Netral,151,94,,"72,9",43,94,50
Poggle the Lesser,Laki-laki,Tidak ada,Tidak ada,Geonosis,Geonosian,Licik,Strategi Perang,Netral,171,88,,"69,3",31,97,50
Nien Nunb,Laki-laki,Tidak ada,Blaster,Sullust,Sullustan,Setia,Pilot,Netral,160,68,Tidak ada,"66,9",23,57,50
Wilhuff Tarkin,Laki-laki,Tidak ada,Tidak ada,Eriadu,Manusia,Kejam,Strategi Perang,Netral,169,83,,"70,2",34,72,50
Mon Mothma,Perempuan,Tidak ada,Tidak ada,Chandrila,Manusia,Bijaksana,Diplomasi,Netral,170,71,,72,40,94,50
Bail Prestor Organa,Laki-laki,Tidak ada,Tidak ada,Alderaan,Manusia,Bijaksana,Diplomasi,Netral,174,76,,72,40,85,50
Lobot,Laki-laki,Tidak ada,Tidak ada,Bespin,Manusia,Tenang,Teknologi,Netral,175,79,37,72,40,74,50
Zorii Bliss,Perempuan,Tidak ada,Blaster,Kijimi,Manusia,Licik,Pilot,Netral,169,83,,"74,1",47,73,50
Finn,Laki-laki,Tidak ada,Blaster,Tidak diketahui,Manusia,Pemberani,Perjuangan,Netral,Tidak ada,Tidak ada,Tidak ada,72,40,85,50
Rose Tico,Perempuan,Tidak ada,Blaster,Hays Minor,Manusia,Bijaksana,Teknologi,Netral,164,71,,"71,1",37,70,50
Snoke,Laki-laki,Tidak ada,Tidak ada,Tidak diketahui,Tidak diketahui,Licik,Penguasaan Force,Sith,176,77,,84,35,83,85
Kylo Ren,Laki-laki,Merah,Lightsaber,Tidak diketahui,Manusia,Licik,Penguasaan Force,Sith,170,68,,"82,4",31,71,85
General Leia Organa,Perempuan,Tidak ada,Blaster,Alderaan,Manusia,Bijaksana,Kepemimpinan,Netral,170,83,,"70,5",35,90,50
The Mandalorian (Din Djarin),Laki-laki,Tidak ada,Blaster,Tidak diketahui,Mandalorian,Tegas,Kepemimpinan,Jedi,153,59,,84,20,57,90
Baby Yoda,Tidak diketahui,Tidak ada,Tidak ada,Tidak diketahui,Yoda’s species,Bijaksana,Penguasaan Force,Jedi,62,17,,"85,2",26,134,100
Bo-Katan Kryze,Perempuan,Tidak ada,Blaster,Mandalore,Mandalorian,Berani,Kepemimpinan,Netral,172,59,,"72,6",42,59,50
Ahsoka Tano (Rebel),Perempuan,Oranye,Lightsaber,Shili,Togruta,Pemberani,Penguasaan Force,Netral,171,68,,"76,2",54,73,50
"Garazeb ""Zeb"" Orrelios",Laki-laki,Tidak ada,Lasat bo rifle,Lasan,Lasat,Berani,Keterampilan Tempur,Netral,166,58,,"72,3",41,86,50
Lando Calrissian (Solo),Laki-laki,Tidak ada,Blaster,Corellia,Manusia,Licik,Pilot,Netral,180,85,,"69,9",33,73,50
Salacious B. Crumb,Tidak diketahui,Tidak ada,Tidak ada,Tatooine,Kowakian Monkey-Lizard,Ceria,Humoris,Netral,159,62,,"73,2",44,52,50
Rancor,Tidak diketahui,Tidak ada,Tidak ada,Tatooine,Rancor,Kejam,Keterampilan Bertarung,Netral,187,53,,"71,1",37,59,50
Nien Nunb,Laki-laki,Tidak ada,Blaster,Sullust,Sullustan,Setia,Pilot,Netral,151,62,,"73,2",44,85,50
Max Rebo,Tidak diketahui,Tidak ada,Tidak ada,Tatooine,Ortolan,Ceria,Musik,Netral,188,74,,"72,3",41,87,50
Biggs Darklighter,Laki-laki,Tidak ada,Blaster,Tatooine,Manusia,Pemberani,Pilot,Netral,166,70,,"71,7",39,95,50
Wedge Antilles,Laki-laki,Tidak ada,Blaster,Corellia,Manusia,Pemberani,Pilot,Netral,171,82,,69,30,80,50
Talon Karrde,Laki-laki,Tidak ada,Blaster,Tidak diketahui,Manusia,Licik,Perdagangan,Netral,186,74,,"71,1",37,80,50
Wedge Antilles,Laki-laki,Tidak ada,Blaster,Corellia,Manusia,Pemberani,Pilot,Netral,189,70,,"73,8",46,97,50
Biggs Darklighter,Laki-laki,Tidak ada,Blaster,Tatooine,Manusia,Pemberani,Pilot,Netral,174,61,,"71,7",39,90,50
Admiral Ackbar,Laki-laki,Tidak ada,Tidak ada,Mon Cala,Mon Calamari,Bijaksana,Strategi Perang,Netral,180,83,41,"71,4",38,94,50
Rex,Laki-laki,Tidak ada,Blaster,Kamino,Klon,Setia,Keterampilan Tempur,Netral,163,72,,"67,5",25,65,50
Crix Madine,Laki-laki,Tidak ada,Blaster,Tidak diketahui,Manusia,Setia,Kepemimpinan,Netral,174,68,,"70,2",34,99,50
Zorii Bliss,Perempuan,Tidak ada,Blaster,Kijimi,Manusia,Licik,Pilot,Netral,182,81,,"73,5",45,81,50
Finn,Laki-laki,Tidak ada,Blaster,Tidak diketahui,Manusia,Pemberani,Perjuangan,Netral,187,81,,"69,9",33,79,50
Saw Gerrera,Laki-laki,Tidak ada,Blaster,Onderon,Manusia,Pemberani,Taktik Perang,Netral,185,76,,69,30,97,50
Bo-Katan Kryze,Perempuan,Tidak ada,Blaster,Mandalore,Mandalorian,Bijaksana,Kepemimpinan,Netral,179,64,,"69,9",33,58,50
Chirrut Îmwe,Laki-laki,Tidak ada,Tidak ada,Jedha,Blind,Setia,Penguasaan Force,Netral,189,70,,"73,5",45,74,50
Baze Malbus,Laki-laki,Tidak ada,Blaster,Jedha,Manusia,Licik,Keterampilan tempur,Netral,167,66,,"71,4",38,77,50
K-2SO,Tidak diketahui,Tidak ada,Tidak ada,Tidak diketahui,KX-series droid,Kejam,Teknologi,Netral,159,67,,"73,8",46,84,50
Poe Dameron,Laki-laki,Tidak ada,Blaster,Yavin 4,Manusia,Pemberani,Pilot,Netral,162,79,,"74,1",47,75,50
Rose Tico,Perempuan,Tidak ada,Blaster,Hays Minor,Manusia,Pemberani,Teknologi,Netral,175,66,,"71,7",39,77,50
Snoke,Laki-laki,Tidak ada,Tidak ada,Tidak diketahui,Tidak diketahui,Bijaksana,Penguasaan Force,Sith,179,94,,"82,4",31,58,85
Kylo Ren,Laki-laki,Merah,Lightsaber,Tidak diketahui,Manusia,Licik,Penguasaan Force,Sith,171,81,,"84,4",36,87,85
Darth Vader,Laki-laki,Merah,Lightsaber,Tatooine,Manusia,Pemberani,Penguasaan Force,Sith,202,136,41.9,"87,2",43,83,85
Jyn Erso,Perempuan,Tidak ada,Blaster,Lothal,Manusia,Cerdas,Kepemimpinan,Netral,161,65,,"74,4",48,88,50
Ahsoka Tano (Clone Wars),Perempuan,Oranye,Lightsaber,Shili,Togruta,Diplomatik,Penguasaan Force,Jedi,172,62,,"90,4",52,85,100
Luminara Unduli,Perempuan,Hijau,Lightsaber,Mirial,Mirialan,Bijaksana,Penguasaan Force,Jedi,158,84,,"86,8",34,73,100
Jabba the Hutt,Laki-laki,Tidak ada,Tidak ada,Tatooine,Hutt,Pintar,Kejahatan,Netral,175,1358,600,"62,1",7,175,50
Biggs Darklighter,Laki-laki,Tidak ada,Blaster,Tatooine,Manusia,Kejam,Pilot,Jedi,178,60,,"86,4",32,73,90
Anakin Skywalker,Laki-laki,Biru,Lightsaber,Tatooine,Manusia,Menarik,Pertempuran lightsaber,Netral,188,84,41.9,"70,5",35,96,50
Padmé Amidala,Perempuan,Tidak ada,Tidak ada ,Naboo,Manusia,Tangguh,Diplomasi,Jedi,185,45,46,"89,8",49,98,90
Qui-Gon Jinn,Laki-laki,Hijau,Lightsaber,Coruscant,Manusia,Berani,Bela diri,Sith,193,89,92,88,45,88,85
Count Dooku,Laki-laki,Merah,Lightsaber,Serenno,Manusia,Berani,Strategi,Netral,193,80,102,"71,4",38,78,50
Grievous,Laki-laki,Merah,Lightsaber,Kalee,Cyborg,Tegas,Pertempuran,Netral,216,159,Tidak ada,"71,7",39,93,50
Lando Calrissian,Laki-laki,Tidak ada,Blaster,Lando Calrissian,Manusia,Setia,Taktik,Netral,176,76,,"70,8",36,84,50
Boba Fett,Laki-laki,Tidak ada,Blaster,Kamino,Manusia,Sabar,Menggunakan senjata api,Jedi,183,78.2,31.5,"88,8",44,89,90
Rey Skywalker,Perempuan,Kuning,Blaster,Jakku,Manusia,Setia,Menggunakan lightsaber,Netral,Tidak ada,Tidak ada,Tidak ada,"71,1",37,78,50
Finn,Laki-laki,Biru,Blaster,Jakku,Manusia,Setia,Strategi militer,Jedi,170,87,,"87,6",38,78,90
Han Solo,Laki-laki,Tidak ada,Blaster,Corellia,Manusia,Bijaksana,Lightsaber,Sith,162,64,,"86,8",42,93,85
Leia Organa,Perempuan,Biru,Blaster,Alderaan,Wookiee,Bijaksana,Lightsaber,Jedi,150,49,19,84,20,129,90
Baby Yoda,Laki-laki,Hijau,Lightsaber,Dagobah,Manusia,Tangguh,Bela diri,Netral,186,87,,"73,5",45,87,50
Obi-Wan Kenobi,Laki-laki,Biru,Lightsaber,Stewjon,Manusia,Berani,Lightsaber,Netral,161,76,,"74,4",48,78,50
Darth Maul,Laki-laki,Merah (dua sisi),Lightsaber,Iridonia,Manusia,Sabar,Seni bela diri,Netral,175,80,54,"69,3",31,82,50
Mace Windu,Laki-laki,Ungu,Lightsaber,Naboo,Zabrak,Cerdas,Menggunakan lightsaber,Netral,195,95,,"74,7",49,55,50
Jar Jar Binks,Laki-laki,Tidak ada,Tidak ada,Naboo,Manusia,Setia,Penguasaan Force,Netral,196,66,52,"69,3",31,94,50
Zeb Orrelios,Laki-laki,Tidak ada,Blaster,Lothal,Manusia,Berani,Strategi,Netral,183,64,,72,40,99,50
Wilhuff Tarkin,Laki-laki,Tidak ada,Blaster,Alderaan,Gungan,Cerdas,Bertarung,Netral,180,Tidak ada,64,"70,2",34,50,50
C-3PO,Laki-laki,Tidak ada,Blaster,Tatooine,Twi'lek,Setia,Diplomasi,Jedi,183,59,,86,30,69,90
R2-D2,Laki-laki,Tidak ada,Lightsaber,R2-D2,Twi'lek,Berani,Strategi militer,Netral,156,97,,66,20,56,50
Rex,Laki-laki,Tidak ada,Blaster,Lothal,Droid,Setia,Menggunakan lightsaber,Jedi,164,85,,"85,8",29,71,90
Aayla Secura,Perempuan,Biru,Blaster,Jedha,Droid,Berani,Navigasi,Jedi,178,55,48,"89,8",49,52,90
Poe Dameron,Laki-laki,Tidak ada,Blaster,Naboo,Clawdite,Cerdas,Pengawasan,Netral,Tidak ada,Tidak ada,Tidak ada,"68,1",27,64,50
Chirrut Îmwe,Laki-laki,Tidak ada,Tidak ada,Cantonica,Twi'lek,Sabar,Analisis,Sith,169,94,,"78,4",21,98,85
Mon Mothma,Perempuan,Tidak ada,Lightsaber,Lothal,Manusia,Jujur,Pertarungan fisik,Sith,150,Tidak ada,48,84,35,95,85
Luminara Unduli,Perempuan,Hijau,Blaster,Mandalore,Manusia,Berani,Kepemimpinan,Netral,185,86,,"69,9",33,74,50
Jyn Erso,Perempuan,Tidak ada,Lightsaber,Tatooine,Manusia,Pemberani,Menggunakan Force,Netral,174,67,,"71,1",37,81,50
Kylo Ren,Laki-laki,Merah,Lightsaber,Mandalore,Manusia,Pemalu,Taktik pertempuran,Netral,178,78,,"72,3",41,93,50
Snoke,Laki-laki,Tidak ada,Lightsaber,Mandalore,Mandalorian,Bijaksana,Bernegosiasi,Netral,175,53,,"66,3",21,62,50
Saw Gerrera,Laki-laki,Tidak ada,Tidak ada,Mandalore,Mandalorian,Berani,Pertempuran,Sith,161,77,,"84,8",37,62,85
General Hux,Laki-laki,Tidak ada,Tidak ada,Mandalore,Mandalorian,Karismatik,Analisis teknologi,Netral,191,82,,72,40,72,50
Captain Phasma,Perempuan,Tidak ada,Blaster,Tatooine,Mandalorian,Karismatik,Merencanakan serangan,Sith,Tidak ada,Tidak ada,Tidak ada,86,40,71,85
Maz Kanata,Perempuan,Tidak ada,Lightsaber,Naboo,Mandalorian,Karismatik,Menggunakan lightsaber,Netral,167,89,,"68,4",28,90,50
The Mandalorian (Din Djarin),Laki-laki,Tidak ada,Tidak ada,Endor,Manusia,Cerdas,Analisis situasi,Netral,181,86,,"69,9",33,96,50
Grogu,Tidak diketahui,Hijau,Lightsaber,Naboo,Hutt,Ceria,Menggunakan lightsaber,Netral,301,82,,"64,2",14,150,50
Darth Sidious,Laki-laki,Merah,Lightsaber,Tatooine,Manusia,Kejam,Strategi pertempuran,Netral,173,78,,72,40,77,50
Salacious B. Crumb,Laki-laki,Tidak ada,Tidak ada,Kamino,Manusia,Setia,Bertahan hidup,Netral,184,73,,"71,1",37,77,50
Boba Fett,Laki-laki,Tidak ada,Lightsaber,Kashyyyk,Manusia,Cerdas,Menggunakan senjata,Netral,160,64,,"73,2",44,78,50
General Leia Organa,Perempuan,Biru,Tidak ada,Coruscant,Ewok,Serius,Seni bertarung,Sith,87,21,,"84,8",37,56,85
Talon Karrde,Laki-laki,Tidak ada,Blaster,Naboo,Hutt,Penuh kasih sayang,Menggunakan lightsaber,Jedi,310,1176,,"82,2",11,179,90
Bail Prestor Organa,Laki-laki,Tidak ada,Lightsaber,Endor,Manusia,Berani,Memanipulasi,Jedi,191,Tidak ada,67,"88,4",42,84,90
Biggs Darklighter,Laki-laki,Biru,Tidak ada,Coruscant,Manusia,Berani,Bertarung,Jedi,183,84,24,87,35,71,90
Wedge Antilles,Laki-laki,Biru,Lightsaber,Tatooine,Manusia,Setia,Strategi,Jedi,170,77,21,"88,6",43,91,90
Rancor,Tidak diketahui,Tidak ada,Tidak ada,Naboo,Wookiee,Setia,Bertahan hidup,Jedi,224,114,,87,35,143,90
Lobot,Laki-laki,Tidak ada,Blaster,Naboo,Manusia,Humoris,Bertarung,Jedi,163,73,,"88,4",42,73,90
Poggle the Lesser,Laki-laki,Tidak ada,Tidak ada,Mustafar,Manusia,Karismatik,Menggunakan senjata,Sith,183,80,Tidak ada,"89,2",48,96,85
Zorii Bliss,Perempuan,Tidak ada,Lightsaber,Endor,Ewok,Tenang,Memimpin,Sith,89,28,,"80,4",26,64,85
Fenn Rau,Laki-laki,Tidak ada,Blaster,Tatooine,Manusia,Humoris,Bertarung,Sith,174,77,,"83,6",34,75,85
Darth Bane,Laki-laki,Merah,Lightsaber,Corellia,Manusia,Berani,Bertarung,Sith,178,78,,"87,6",44,99,85
Ahsoka Tano,Perempuan,Putih,Lightsaber,Naboo,Hutt,Kejam,Bertahan hidup,Jedi,310,1165,,"82,6",13,157,90
